Elevation (ft),Capacity (acre-feet)
4624.8,2597
4624.9,2605
4625,2614
4625.1,2623
4625.2,2632
4625.3,2641
4625.4,2650
4625.5,2658
4625.6,2667
4625.7,2676
4625.8,2685
4625.9,2694
4626,2703
4626.1,2712
4626.2,2721
4626.3,2730
4626.4,2739
4626.5,2748
4626.6,2758
4626.7,2767
4626.8,2776
4626.9,2785
4627,2794
4627.1,2804
4627.2,2813
4627.3,2822
4627.4,2831
4627.5,2841
4627.6,2850
4627.7,2860
4627.8,2869
4627.9,2878
4628,2888
4628.1,2897
4628.2,2907
4628.3,2916
4628.4,2926
4628.5,2936
4628.6,2945
4628.7,2955
4628.8,2964
4628.9,2974
4629,2984
4629.1,2994
4629.2,3003
4629.3,3013
4629.4,3023
4629.5,3033
4629.6,3043
4629.7,3052
4629.8,3062
4629.9,3072
4630,3082
4630.1,3092
4630.2,3102
4630.3,3112
4630.4,3122
4630.5,3132
4630.6,3142
4630.7,3153
4630.8,3163
4630.9,3173
4631,3183
4631.1,3193
4631.2,3204
4631.3,3214
4631.4,3224
4631.5,3234
4631.6,3245
4631.7,3255
4631.8,3266
4631.9,3276
4632,3287
4632.1,3297
4632.2,3308
4632.3,3318
4632.4,3329
4632.5,3339
4632.6,3350
4632.7,3360
4632.8,3371
4632.9,3382
4633,3393
4633.1,3403
4633.2,3414
4633.3,3425
4633.4,3436
4633.5,3446
4633.6,3457
4633.7,3468
4633.8,3479
4633.9,3490
4634,3501
4634.1,3512
4634.2,3523
4634.3,3534
4634.4,3545
4634.5,3556
4634.6,3568
4634.7,3579
4634.8,3590
4634.9,3601
4635,3612
4635.1,3624
4635.2,3635
4635.3,3646
4635.4,3658
4635.5,3669
4635.6,3681
4635.7,3692
4635.8,3703
4635.9,3715
4636,3726
4636.1,3738
4636.2,3750
4636.3,3761
4636.4,3773
4636.5,3785
4636.6,3796
4636.7,3808
4636.8,3820
4636.9,3831
4637,3843
4637.1,3855
4637.2,3867
4637.3,3879
4637.4,3891
4637.5,3903
4637.6,3915
4637.7,3927
4637.8,3939
4637.9,3951
4638,3963
4638.1,3975
4638.2,3987
4638.3,3999
4638.4,4011
4638.5,4024
4638.6,4036
4638.7,4048
4638.8,4061
4638.9,4073
4639,4085
4639.1,4098
4639.2,4110
4639.3,4123
4639.4,4135
4639.5,4148
4639.6,4160
4639.7,4173
4639.8,4185
4639.9,4198
4640,4211
4640.1,4223
4640.2,4236
4640.3,4249
4640.4,4262
4640.5,4275
4640.6,4287
4640.7,4300
4640.8,4313
4640.9,4326
4641,4339
4641.1,4352
4641.2,4365
4641.3,4378
4641.4,4391
4641.5,4404
4641.6,4418
4641.7,4431
4641.8,4444
4641.9,4457
4642,4470
4642.1,4484
4642.2,4497
4642.3,4510
4642.4,4524
4642.5,4537
4642.6,4551
4642.7,4564
4642.8,4578
4642.9,4591
4643,4605
4643.1,4619
4643.2,4632
4643.3,4646
4643.4,4660
4643.5,4673
4643.6,4687
4643.7,4701
4643.8,4715
4643.9,4729
4644,4742
4644.1,4756
4644.2,4770
4644.3,4784
4644.4,4798
4644.5,4812
4644.6,4827
4644.7,4841
4644.8,4855
4644.9,4869
4645,4883
4645.1,4897
4645.2,4912
4645.3,4926
4645.4,4940
4645.5,4955
4645.6,4969
4645.7,4984
4645.8,4998
4645.9,5013
4646,5027
4646.1,5042
4646.2,5056
4646.3,5071
4646.4,5086
4646.5,5100
4646.6,5115
4646.7,5130
4646.8,5145
4646.9,5160
4647,5174
4647.1,5189
4647.2,5204
4647.3,5219
4647.4,5234
4647.5,5249
4647.6,5264
4647.7,5280
4647.8,5295
4647.9,5310
4648,5325
4648.1,5340
4648.2,5356
4648.3,5371
4648.4,5386
4648.5,5402
4648.6,5417
4648.7,5432
4648.8,5448
4648.9,5463
4649,5479
4649.1,5495
4649.2,5510
4649.3,5526
4649.4,5542
4649.5,5557
4649.6,5573
4649.7,5589
4649.8,5605
4649.9,5621
4650,5636
4650.1,5652
4650.2,5668
4650.3,5684
4650.4,5700
4650.5,5716
4650.6,5733
4650.7,5749
4650.8,5765
4650.9,5781
4651,5797
4651.1,5814
4651.2,5830
4651.3,5846
4651.4,5863
4651.5,5879
4651.6,5896
4651.7,5912
4651.8,5929
4651.9,5945
4652,5962
4652.1,5978
4652.2,5995
4652.3,6012
4652.4,6029
4652.5,6045
4652.6,6062
4652.7,6079
4652.8,6096
4652.9,6113
4653,6130
4653.1,6147
4653.2,6164
4653.3,6181
4653.4,6198
4653.5,6215
4653.6,6232
4653.7,6250
4653.8,6267
4653.9,6284
4654,6302
4654.1,6319
4654.2,6336
4654.3,6354
4654.4,6371
4654.5,6389
4654.6,6406
4654.7,6424
4654.8,6442
4654.9,6459
4655,6477
4655.1,6495
4655.2,6513
4655.3,6530
4655.4,6548
4655.5,6566
4655.6,6584
4655.7,6602
4655.8,6620
4655.9,6638
4656,6656
4656.1,6674
4656.2,6693
4656.3,6711
4656.4,6729
4656.5,6747
4656.6,6766
4656.7,6784
4656.8,6802
4656.9,6821
4657,6839
4657.1,6858
4657.2,6876
4657.3,6895
4657.4,6914
4657.5,6932
4657.6,6951
4657.7,6970
4657.8,6989
4657.9,7007
4658,7026
4658.1,7045
4658.2,7064
4658.3,7083
4658.4,7102
4658.5,7121
4658.6,7140
4658.7,7160
4658.8,7179
4658.9,7198
4659,7217
4659.1,7237
4659.2,7256
4659.3,7275
4659.4,7295
4659.5,7314
4659.6,7334
4659.7,7353
4659.8,7373
4659.9,7393
4660,7412
4660.1,7432
4660.2,7452
4660.3,7472
4660.4,7491
4660.5,7511
4660.6,7531
4660.7,7551
4660.8,7571
4660.9,7591
4661,7611
4661.1,7631
4661.2,7652
4661.3,7672
4661.4,7692
4661.5,7712
4661.6,7733
4661.7,7753
4661.8,7773
4661.9,7794
4662,7814
4662.1,7835
4662.2,7856
4662.3,7876
4662.4,7897
4662.5,7918
4662.6,7938
4662.7,7959
4662.8,7980
4662.9,8001
4663,8022
4663.1,8043
4663.2,8064
4663.3,8085
4663.4,8106
4663.5,8127
4663.6,8148
4663.7,8169
4663.8,8191
4663.9,8212
4664,8233
4664.1,8255
4664.2,8276
4664.3,8298
4664.4,8319
4664.5,8341
4664.6,8362
4664.7,8384
4664.8,8406
4664.9,8428
4665,8449
4665.1,8471
4665.2,8493
4665.3,8515
4665.4,8537
4665.5,8559
4665.6,8581
4665.7,8603
4665.8,8625
4665.9,8647
4666,8670
4666.1,8692
4666.2,8714
4666.3,8737
4666.4,8759
4666.5,8782
4666.6,8804
4666.7,8827
4666.8,8849
4666.9,8872
4667,8894
4667.1,8917
4667.2,8940
4667.3,8963
4667.4,8986
4667.5,9009
4667.6,9032
4667.7,9055
4667.8,9078
4667.9,9101
4668,9124
4668.1,9147
4668.2,9170
4668.3,9193
4668.4,9217
4668.5,9240
4668.6,9264
4668.7,9287
4668.8,9311
4668.9,9334
4669,9358
4669.1,9381
4669.2,9405
4669.3,9429
4669.4,9453
4669.5,9476
4669.6,9500
4669.7,9524
4669.8,9548
4669.9,9572
4670,9596
4670.1,9620
4670.2,9644
4670.3,9669
4670.4,9693
4670.5,9717
4670.6,9742
4670.7,9766
4670.8,9790
4670.9,9815
4671,9839
4671.1,9864
4671.2,9889
4671.3,9913
4671.4,9938
4671.5,9963
4671.6,9988
4671.7,10012
4671.8,10037
4671.9,10062
4672,10087
4672.1,10112
4672.2,10138
4672.3,10163
4672.4,10188
4672.5,10213
4672.6,10239
4672.7,10264
4672.8,10289
4672.9,10315
4673,10340
4673.1,10366
4673.2,10391
4673.3,10417
4673.4,10443
4673.5,10468
4673.6,10494
4673.7,10520
4673.8,10546
4673.9,10572
4674,10598
4674.1,10624
4674.2,10650
4674.3,10676
4674.4,10702
4674.5,10729
4674.6,10755
4674.7,10781
4674.8,10808
4674.9,10834
4675,10861
4675.1,10887
4675.2,10914
4675.3,10940
4675.4,10967
4675.5,10994
4675.6,11021
4675.7,11048
4675.8,11074
4675.9,11101
4676,11128
4676.1,11155
4676.2,11183
4676.3,11210
4676.4,11237
4676.5,11264
4676.6,11292
4676.7,11319
4676.8,11346
4676.9,11374
4677,11401
4677.1,11429
4677.2,11456
4677.3,11484
4677.4,11512
4677.5,11540
4677.6,11567
4677.7,11595
4677.8,11623
4677.9,11651
4678,11679
4678.1,11707
4678.2,11736
4678.3,11764
4678.4,11792
4678.5,11820
4678.6,11849
4678.7,11877
4678.8,11906
4678.9,11934
4679,11963
4679.1,11991
4679.2,12020
4679.3,12049
4679.4,12077
4679.5,12106
4679.6,12135
4679.7,12164
4679.8,12193
4679.9,12222
4680,12251
4680.1,12280
4680.2,12310
4680.3,12339
4680.4,12368
4680.5,12398
4680.6,12427
4680.7,12456
4680.8,12486
4680.9,12516
4681,12545
4681.1,12575
4681.2,12605
4681.3,12634
4681.4,12664
4681.5,12694
4681.6,12724
4681.7,12754
4681.8,12784
4681.9,12814
4682,12845
4682.1,12875
4682.2,12905
4682.3,12936
4682.4,12966
4682.5,12996
4682.6,13027
4682.7,13058
4682.8,13088
4682.9,13119
4683,13150
4683.1,13180
4683.2,13211
4683.3,13242
4683.4,13273
4683.5,13304
4683.6,13335
4683.7,13366
4683.8,13398
4683.9,13429
4684,13460
4684.1,13492
4684.2,13523
4684.3,13554
4684.4,13586
4684.5,13618
4684.6,13649
4684.7,13681
4684.8,13713
4684.9,13745
4685,13776
4685.1,13808
4685.2,13840
4685.3,13872
4685.4,13905
4685.5,13937
4685.6,13969
4685.7,14001
4685.8,14034
4685.9,14066
4686,14098
4686.1,14131
4686.2,14164
4686.3,14196
4686.4,14229
4686.5,14262
4686.6,14294
4686.7,14327
4686.8,14360
4686.9,14393
4687,14426
4687.1,14459
4687.2,14493
4687.3,14526
4687.4,14559
4687.5,14592
4687.6,14626
4687.7,14659
4687.8,14693
4687.9,14726
4688,14760
4688.1,14794
4688.2,14827
4688.3,14861
4688.4,14895
4688.5,14929
4688.6,14963
4688.7,14997
4688.8,15031
4688.9,15065
4689,15100
4689.1,15134
4689.2,15168
4689.3,15203
4689.4,15237
4689.5,15272
4689.6,15306
4689.7,15341
4689.8,15376
4689.9,15411
4690,15445
4690.1,15480
4690.2,15515
4690.3,15550
4690.4,15585
4690.5,15621
4690.6,15656
4690.7,15691
4690.8,15726
4690.9,15762
4691,15797
4691.1,15833
4691.2,15868
4691.3,15904
4691.4,15940
4691.5,15975
4691.6,16011
4691.7,16047
4691.8,16083
4691.9,16119
4692,16155
4692.1,16191
4692.2,16228
4692.3,16264
4692.4,16300
4692.5,16337
4692.6,16373
4692.7,16410
4692.8,16446
4692.9,16483
4693,16520
4693.1,16556
4693.2,16593
4693.3,16630
4693.4,16667
4693.5,16704
4693.6,16741
4693.7,16778
4693.8,16816
4693.9,16853
4694,16890
4694.1,16928
4694.2,16965
4694.3,17003
4694.4,17040
4694.5,17078
4694.6,17116
4694.7,17154
4694.8,17191
4694.9,17229
4695,17267
4695.1,17305
4695.2,17344
4695.3,17382
4695.4,17420
4695.5,17458
4695.6,17497
4695.7,17535
4695.8,17574
4695.9,17612
4696,17651
4696.1,17690
4696.2,17728
4696.3,17767
4696.4,17806
4696.5,17845
4696.6,17884
4696.7,17923
4696.8,17963
4696.9,18002
4697,18041
4697.1,18080
4697.2,18120
4697.3,18159
4697.4,18199
4697.5,18239
4697.6,18278
4697.7,18318
4697.8,18358
4697.9,18398
4698,18438
4698.1,18478
4698.2,18518
4698.3,18558
4698.4,18599
4698.5,18639
4698.6,18679
4698.7,18720
4698.8,18760
4698.9,18801
4699,18841
4699.1,18882
4699.2,18923
4699.3,18964
4699.4,19005
4699.5,19046
4699.6,19087
4699.7,19128
4699.8,19169
4699.9,19210
4700,19252
4700.1,19293
4700.2,19335
4700.3,19376
4700.4,19418
4700.5,19460
4700.6,19501
4700.7,19543
4700.8,19585
4700.9,19627
4701,19669
4701.1,19711
4701.2,19753
4701.3,19796
4701.4,19838
4701.5,19880
4701.6,19923
4701.7,19965
4701.8,20008
4701.9,20051
4702,20093
4702.1,20136
4702.2,20179
4702.3,20222
4702.4,20265
4702.5,20308
4702.6,20351
4702.7,20395
4702.8,20438
4702.9,20481
4703,20525
4703.1,20568
4703.2,20612
4703.3,20655
4703.4,20699
4703.5,20743
4703.6,20787
4703.7,20831
4703.8,20875
4703.9,20919
4704,20963
4704.1,21007
4704.2,21052
4704.3,21096
4704.4,21141
4704.5,21185
4704.6,21230
4704.7,21274
4704.8,21319
4704.9,21364
4705,21409
4705.1,21454
4705.2,21499
4705.3,21544
4705.4,21589
4705.5,21634
4705.6,21680
4705.7,21725
4705.8,21771
4705.9,21816
4706,21862
4706.1,21908
4706.2,21953
4706.3,21999
4706.4,22045
4706.5,22091
4706.6,22137
4706.7,22183
4706.8,22230
4706.9,22276
4707,22322
4707.1,22369
4707.2,22415
4707.3,22462
4707.4,22508
4707.5,22555
4707.6,22602
4707.7,22649
4707.8,22696
4707.9,22743
4708,22790
4708.1,22837
4708.2,22885
4708.3,22932
4708.4,22979
4708.5,23027
4708.6,23074
4708.7,23122
4708.8,23170
4708.9,23218
4709,23266
4709.1,23313
4709.2,23362
4709.3,23410
4709.4,23458
4709.5,23506
4709.6,23554
4709.7,23603
4709.8,23651
4709.9,23700
4710,23749
4710.1,23797
4710.2,23846
4710.3,23895
4710.4,23944
4710.5,23993
4710.6,24042
4710.7,24091
4710.8,24141
4710.9,24190
4711,24239
4711.1,24289
4711.2,24338
4711.3,24388
4711.4,24438
