,I_DCC010,I_FRMDW,I_MFA036,I_RUB047,I_LRB004,I_HHOLE,I_LOONL,I_SFR006,I_GERLE,I_STMPY,I_PLC007,I_NLC003,I_SLC003,I_LNG012,I_RUB002,I_NMA003,I_MFA025,I_MFA023,I_MFA001,I_ALOHA,I_PYR001,I_CAPLS,I_SILVR,I_LKVLY,I_NNA013,I_NFA054,I_CYN009,I_NFA022,I_NFA016,I_SFA066,I_SFA076,I_SLF009,I_ALD004,I_ALD002,I_PLM001,I_UNVLY,I_ICEHS,I_SLV006,I_SLV015,I_BSH003,I_SFA040,I_RCK001,I_SFA030,I_WBR001,I_FOLSM,I_ECHOL
1971-01-31,1.81,5.89,5.1,5.23,0.93,15.24,3.05,2.76,4.12,1.31,0.52,0.38,0.69,1.5,0,23.94,17.21,2.97,16.66,0.6,0.96,0.88,1.01,0.77,0.79,48.44,0.33,30.0,2.12,5.18,3.04,3.47,1.34,0.24,1.77,12.82,3.22,5.03,7.06,1.59,4.66,7.95,5.82,13.41,20.53,0.65
1971-02-28,1.91,7.4,6.22,3.3,0.87,13.09,1.48,3.11,4.65,1.33,0.53,0.54,0.97,2.08,0,21.77,14.88,2.56,5.44,0.47,0.76,0.66,0.12,0.92,0.95,33.12,0.23,19.71,1.4,5.69,3.34,3.81,2.34,0.42,1.14,12.87,2.87,5.48,7.69,1.73,0.0,5.68,0.0,9.02,1.19,0.57
1971-03-31,2.63,11.96,12.0,4.12,1.35,19.55,2.65,5.41,8.08,4.89,1.94,1.16,2.09,4.5,0,41.44,25.49,4.39,9.53,0.63,1.01,0.87,2.44,0.58,0.6,61.0,0.41,38.57,2.73,8.46,4.97,5.67,4.83,0.87,1.39,18.9,4.32,6.49,9.11,2.05,12.58,8.3,13.08,16.24,16.15,0.65
1971-04-30,4.18,18.38,12.33,8.6,2.67,27.38,5.15,7.67,11.46,4.38,1.74,1.01,2.46,3.27,0,32.13,22.41,3.86,3.04,1.06,1.7,1.97,3.04,0.35,0.36,53.93,0.37,34.42,2.44,16.44,9.65,11.02,6.35,1.14,1.65,27.73,7.64,6.05,8.49,1.91,4.53,6.59,12.04,7.03,16.17,1.07
1971-05-31,8.36,35.16,9.0,25.35,6.07,58.52,7.13,9.19,13.73,2.3,0.91,0.96,2.47,2.18,0,26.65,14.59,2.51,1.73,2.84,4.55,7.52,10.8,0.64,0.66,72.64,0.49,46.04,3.26,29.68,17.42,19.9,6.02,1.08,0.98,45.34,18.01,5.59,7.85,1.77,0.0,5.85,4.54,2.83,10.71,3.21
1971-06-30,6.31,27.31,3.26,34.36,6.82,57.18,2.06,3.76,5.62,1.23,0.49,0.34,0.97,0.94,0,10.45,6.96,1.2,0.0,4.32,6.93,13.8,11.13,1.25,1.28,51.33,0.35,30.91,2.19,27.82,16.33,18.65,1.83,0.33,0.36,38.39,18.16,3.95,5.55,1.25,0.0,3.72,5.03,1.01,0.99,5.62
1971-07-31,0.71,7.54,1.43,9.11,1.7,10.66,0.79,0.63,0.94,1.2,0.48,0.08,0.14,0.29,0,3.75,3.9,0.67,0.0,1.65,2.65,4.81,1.53,0.41,0.42,11.56,0.08,6.7,0.47,6.72,3.94,4.51,0.33,0.06,0.06,7.12,3.58,2.01,2.82,0.63,0.89,1.7,4.64,0.18,4.56,2.16
1971-08-31,0.11,1.72,0.75,0.86,0.18,0.49,0.78,0.0,0.0,0.51,0.2,0.03,0.05,0.09,0,2.47,1.85,0.32,0.0,0.26,0.42,0.34,0.0,0.16,0.17,3.08,0.02,1.67,0.12,1.19,0.7,0.8,0.07,0.01,0.02,0.72,0.51,0.85,1.19,0.27,2.5,1.22,4.66,0.13,0.0,0.44
1971-09-30,0.06,0.83,0.47,0.43,0.07,0.0,0.0,0.2,0.3,0.33,0.13,0.01,0.02,0.06,0,1.86,2.63,0.45,0.0,0.09,0.14,0.34,0.0,0.1,0.1,2.02,0.01,1.12,0.08,0.61,0.36,0.41,0.05,0.01,0.06,0.45,0.0,0.75,1.05,0.24,0.0,0.65,1.73,0.1,0.0,0.44
1971-10-31,0.09,0.33,0.54,0.44,0.11,0.15,0.0,0.29,0.43,0.04,0.01,0.02,0.03,0.07,0,2.11,3.02,0.52,0.0,0.11,0.18,0.0,0.0,0.25,0.26,2.82,0.02,1.33,0.09,0.41,0.24,0.27,0.07,0.01,0.01,0.5,0.45,0.09,0.13,0.03,1.76,0.68,2.65,0.16,0.25,0.31
1971-11-30,0.32,1.81,0.96,2.67,0.62,2.7,0.0,0.35,0.52,0.88,0.35,0.06,0.11,0.25,0,3.65,4.59,0.79,0.0,0.34,0.55,0.26,0.0,0.0,0.0,5.02,0.03,3.27,0.23,1.25,0.73,0.84,0.2,0.04,0.07,2.47,1.11,0.55,0.77,0.17,3.19,1.44,5.01,1.1,3.25,0.41
1971-12-31,0.41,1.55,1.91,1.63,0.68,4.19,1.39,0.72,1.08,1.19,0.47,0.11,0.2,0.45,0,7.45,9.55,1.65,3.33,0.37,0.6,0.31,0.5,0.03,0.03,15.12,0.1,9.8,0.69,1.63,0.96,1.09,0.6,0.11,0.27,3.91,1.56,1.02,1.43,0.32,6.39,3.12,8.75,3.83,29.53,0.43
1972-01-31,0.52,1.46,2.43,1.69,0.58,5.22,0.0,1.5,2.24,1.05,0.42,0.22,0.34,0.69,0,11.35,9.37,1.61,1.69,0.3,0.48,0.1,0.38,0.08,0.08,18.29,0.12,11.76,0.83,2.03,1.19,1.36,0.63,0.11,0.37,4.38,0.95,1.48,2.08,0.47,2.82,2.69,4.94,3.68,11.54,0.35
1972-02-29,0.82,2.94,4.15,1.97,0.55,7.83,0.15,1.78,2.66,1.27,0.5,0.33,0.6,1.3,0,17.42,15.88,2.74,5.0,0.32,0.52,0.03,0.36,0.38,0.39,29.1,0.2,18.19,1.29,2.76,1.62,1.85,1.2,0.22,0.79,6.39,1.52,2.36,3.31,0.75,6.96,4.8,10.36,7.22,21.57,0.32
1972-03-31,5.42,24.65,12.14,11.41,2.91,36.75,5.6,8.54,12.76,4.07,1.61,1.21,2.67,3.36,0,37.18,23.99,4.13,0.38,1.24,1.99,2.1,4.36,1.66,1.7,64.5,0.44,38.67,2.74,14.4,8.45,9.65,5.66,1.01,2.28,32.35,8.11,10.11,14.19,3.19,0.0,9.48,0.0,14.21,1.67,1.12
1972-04-30,3.74,17.94,7.65,8.8,2.82,25.43,4.02,6.31,9.43,2.49,0.99,0.87,1.63,2.15,0,25.21,16.68,2.87,2.81,1.09,1.75,2.37,3.28,1.79,1.84,47.04,0.32,27.02,1.91,13.25,7.78,8.88,4.53,0.81,0.95,22.33,7.28,3.71,5.21,1.17,3.68,4.5,11.09,3.55,9.09,1.22
1972-05-31,6.44,25.71,4.19,24.59,6.52,44.37,4.27,5.29,7.9,1.29,0.51,0.45,1.26,1.29,0,15.05,8.96,1.54,0.66,3.06,4.91,9.06,9.75,2.18,2.24,48.53,0.33,27.2,1.93,23.86,14.0,16.0,2.78,0.5,0.42,36.27,16.31,2.86,4.01,0.9,0.0,3.0,1.17,1.16,0.24,3.8
1972-06-30,1.46,9.14,1.54,16.56,3.57,17.42,1.72,0.97,1.45,0.68,0.27,0.12,0.21,0.46,0,4.74,4.75,0.82,0.0,2.5,4.01,7.19,4.23,0.66,0.68,16.43,0.11,9.36,0.66,11.27,6.61,7.56,0.49,0.09,0.08,14.68,6.09,2.16,3.03,0.68,0.0,1.61,0.0,0.22,0.55,3.08
1972-07-31,0.15,0.87,0.94,2.05,0.48,0.64,0.0,0.47,0.7,0.21,0.08,0.03,0.05,0.12,0,2.69,0.69,0.12,0.27,0.53,0.84,1.21,0.0,0.19,0.2,3.37,0.02,1.81,0.13,1.65,0.97,1.11,0.09,0.02,0.01,1.55,1.07,0.49,0.69,0.15,0.89,0.67,2.08,0.05,0.86,0.78
1972-08-31,0.05,0.39,0.5,0.23,0.09,0.23,0.0,0.05,0.07,0.14,0.06,0.01,0.02,0.03,0,1.84,2.11,0.36,0.0,0.12,0.2,0.02,0.0,0.14,0.15,1.73,0.01,0.83,0.06,0.55,0.32,0.37,0.04,0.01,0.01,0.31,0.28,0.33,0.46,0.1,1.42,0.28,3.41,0.03,0.0,0.32
1972-09-30,0.08,2.3,0.42,1.13,0.1,0.24,0.36,0.09,0.13,0.0,0.0,0.01,0.02,0.05,0,1.74,0.8,0.14,0.0,0.12,0.19,0.16,0.16,0.18,0.18,1.68,0.01,0.74,0.05,0.65,0.38,0.44,0.04,0.01,0.04,0.46,0.0,0.71,1.0,0.22,0.53,0.44,3.06,0.06,0.0,0.37
1972-10-31,0.21,1.87,0.62,2.01,0.28,0.71,0.4,0.09,0.13,0.42,0.17,0.02,0.04,0.07,0,2.54,3.89,0.67,0.0,0.27,0.43,0.52,0.2,0.08,0.08,3.06,0.02,1.84,0.13,0.74,0.43,0.5,0.1,0.02,0.02,1.44,1.05,0.22,0.31,0.07,1.84,1.24,1.65,0.34,0.0,0.51
1972-11-30,0.76,3.67,1.5,3.17,0.64,4.31,1.1,0.95,1.42,0.93,0.37,0.15,0.27,0.58,0,6.5,7.52,1.3,0.73,0.34,0.55,0.16,0.25,0.26,0.26,12.43,0.08,7.59,0.54,1.37,0.8,0.92,0.29,0.05,0.1,2.86,1.68,0.61,0.86,0.19,6.28,2.68,3.0,2.38,5.91,0.37
1972-12-31,2.78,10.88,4.63,9.79,1.43,18.9,2.93,3.48,5.2,0.89,0.35,0.38,0.69,1.49,0,18.99,9.05,1.56,4.69,0.82,1.31,0.98,1.9,0.72,0.74,34.67,0.24,21.13,1.5,4.49,2.64,3.01,1.11,0.2,0.96,11.17,4.19,3.28,4.6,1.04,2.46,5.79,4.73,8.15,7.93,0.69
1973-01-31,3.57,12.58,12.57,4.62,1.02,20.4,3.2,4.94,7.38,5.03,1.99,1.05,1.89,4.04,0,48.81,34.91,6.02,30.59,0.63,1.01,0.93,1.03,1.12,1.15,86.83,0.59,54.3,3.84,5.55,3.26,3.72,2.95,0.53,1.81,13.95,4.58,5.22,7.33,1.65,36.3,16.01,15.15,26.33,87.91,0.67
1973-02-28,1.2,3.78,7.84,1.67,0.65,10.44,0.0,2.1,3.14,3.94,1.56,0.59,1.06,2.27,0,31.3,30.41,5.24,24.98,0.31,0.5,0.66,0.64,0.82,0.85,59.11,0.4,36.85,2.61,3.77,2.21,2.53,1.56,0.28,0.74,9.06,2.34,3.56,5.0,1.12,29.74,8.8,13.65,17.53,56.98,0.57
1973-03-31,1.49,6.06,9.04,2.2,0.8,8.81,0.41,2.55,3.81,3.99,1.58,0.65,1.18,2.53,0,31.13,31.33,5.4,13.56,0.38,0.61,0.58,0.61,0.24,0.24,50.75,0.35,32.59,2.31,5.09,2.99,3.41,2.5,0.45,0.9,10.95,2.36,3.85,5.4,1.22,24.36,6.51,13.46,7.62,47.15,0.53
1973-04-30,4.92,23.12,11.54,11.38,2.96,30.08,6.77,8.94,13.35,3.57,1.42,1.22,2.34,2.76,0,33.72,20.35,3.51,3.18,1.16,1.87,2.44,4.36,1.07,1.1,53.05,0.36,32.4,2.29,16.98,9.97,11.38,6.14,1.1,1.74,30.81,8.41,7.08,9.94,2.24,1.87,5.85,10.51,4.64,10.7,1.25
1973-05-31,11.5,44.23,9.68,36.1,9.51,72.87,6.59,10.71,16.0,1.89,0.75,1.28,3.0,1.64,0,24.3,12.72,2.19,1.39,4.65,7.47,14.12,15.52,1.5,1.54,75.61,0.51,46.24,3.27,42.21,24.77,28.3,6.32,1.13,1.11,63.23,25.15,7.55,10.6,2.38,0.0,5.49,0.0,2.26,0.0,5.75
1973-06-30,2.71,10.71,2.25,17.07,3.89,19.63,1.22,1.29,1.93,1.21,0.48,0.18,0.47,0.56,0,6.48,5.62,0.97,0.0,3.0,4.81,8.58,6.05,0.73,0.75,19.93,0.14,11.5,0.81,14.14,8.3,9.48,0.81,0.14,0.11,18.1,9.0,2.49,3.5,0.79,0.0,2.28,2.39,0.34,4.28,3.61
1973-07-31,0.21,2.66,0.96,2.27,0.55,0.19,2.15,0.0,0.0,0.63,0.25,0.03,0.05,0.12,0,3.15,1.55,0.27,0.0,0.65,1.04,1.81,0.0,0.2,0.2,4.17,0.03,2.32,0.16,2.17,1.27,1.45,0.14,0.02,0.02,1.99,1.67,0.75,1.05,0.24,0.81,0.73,3.22,0.08,1.56,1.01
1973-08-31,0.05,1.21,0.55,0.46,0.13,0.59,0.25,0.0,0.0,0.03,0.01,0.01,0.03,0.05,0,1.94,0.0,0.0,0.0,0.17,0.28,0.31,0.0,0.07,0.07,1.92,0.01,1.11,0.08,0.84,0.49,0.56,0.05,0.01,0.03,0.54,0.15,0.75,1.05,0.24,0.0,0.75,0.62,0.05,1.55,0.43
1973-09-30,0.07,0.0,0.15,0.32,0.04,1.7,0.12,0.0,0.0,0.23,0.09,0.01,0.02,0.04,0,1.82,1.84,0.32,0.0,0.05,0.08,0.01,0.0,0.35,0.36,2.26,0.02,0.76,0.05,0.45,0.26,0.3,0.03,0.01,0.03,0.27,0.0,0.44,0.62,0.14,2.7,0.94,2.94,0.15,0.0,0.31
1973-10-31,0.19,0.36,0.73,1.17,0.2,1.33,0.51,0.07,0.1,0.0,0.0,0.02,0.04,0.1,0,2.34,4.41,0.76,0.0,0.24,0.38,0.3,0.04,0.0,0.0,3.0,0.02,1.95,0.14,0.89,0.52,0.6,0.12,0.02,0.02,1.2,0.87,0.35,0.49,0.11,3.09,1.7,2.21,0.46,2.47,0.43
1973-11-30,4.2,18.11,5.76,14.95,3.05,39.32,5.03,4.92,7.35,2.07,0.82,0.83,2.21,2.48,0,35.94,16.25,2.8,4.41,1.9,3.05,4.65,6.28,1.86,1.91,67.32,0.46,40.1,2.84,8.91,5.23,5.97,3.1,0.56,2.45,26.41,7.38,9.28,13.03,2.93,0.0,11.83,0.0,15.21,16.28,2.1
1973-12-31,2.47,11.69,7.61,5.75,1.08,20.22,3.46,3.7,5.53,4.45,1.76,1.02,2.23,3.55,0,36.31,24.39,4.2,14.09,0.7,1.12,1.47,1.48,0.7,0.72,63.92,0.43,40.24,2.85,6.73,3.95,4.51,3.3,0.59,2.21,17.36,4.5,7.45,10.46,2.35,9.3,9.69,14.87,16.44,53.67,0.88
1974-01-31,7.11,28.43,18.95,12.22,1.94,39.93,3.87,7.83,11.7,6.98,2.77,1.53,2.75,5.9,0,68.01,44.21,7.62,23.73,0.96,1.54,1.94,2.72,1.74,1.79,111.24,0.76,68.96,4.88,13.56,7.96,9.09,6.61,1.19,2.43,30.25,7.98,10.85,15.23,3.43,19.17,21.97,13.42,39.58,39.66,1.06
1974-02-28,1.41,5.74,5.31,2.09,0.79,10.71,1.67,1.36,2.03,2.84,1.13,0.42,0.76,1.62,0,17.07,14.82,2.55,3.33,0.33,0.52,0.75,0.79,0.3,0.31,28.44,0.19,17.93,1.27,5.81,3.41,3.9,1.74,0.31,0.6,9.52,3.29,1.93,2.71,0.61,15.09,3.99,13.26,9.16,19.47,0.6
1974-03-31,4.11,21.0,17.7,5.72,1.94,27.64,4.56,7.67,11.46,7.96,3.16,1.38,2.48,5.33,0,70.03,55.63,9.59,30.62,0.79,1.26,1.38,1.8,1.19,1.22,114.09,0.78,71.93,5.09,13.34,7.83,8.94,7.1,1.27,1.36,21.72,6.14,4.9,6.88,1.55,42.45,11.35,34.52,15.85,56.79,0.84
1974-04-30,4.34,21.75,16.43,8.47,2.82,28.96,4.43,6.78,10.13,6.7,2.66,1.26,2.28,4.89,0,49.13,45.39,7.82,12.97,1.3,2.09,2.37,3.49,1.63,1.68,85.06,0.58,52.11,3.69,18.11,10.63,12.14,6.82,1.22,1.09,27.13,9.01,4.93,6.92,1.56,41.09,9.11,26.23,7.47,33.72,1.22
1974-05-31,10.4,42.0,8.28,33.1,7.81,72.08,6.68,9.53,14.24,2.41,0.95,0.86,1.54,3.32,0,26.16,18.47,3.18,0.0,4.23,6.78,11.13,15.46,1.23,1.26,73.47,0.5,45.38,3.21,40.15,23.56,26.92,5.57,1.0,0.84,58.18,23.24,7.12,10.0,2.25,0.0,4.75,2.6,2.56,8.55,4.6
1974-06-30,4.62,22.91,2.81,29.26,5.26,43.31,1.51,2.06,3.08,1.38,0.55,0.26,0.47,1.0,0,8.32,6.86,1.18,0.0,3.86,6.2,11.78,9.72,0.96,0.98,35.57,0.24,21.23,1.5,23.15,13.59,15.52,0.91,0.16,0.19,29.26,13.72,3.66,5.14,1.16,0.0,4.38,7.25,0.98,5.09,4.85
1974-07-31,1.27,9.32,1.83,13.05,1.44,17.28,2.72,1.18,1.76,1.35,0.53,0.15,0.26,0.57,0,6.15,5.43,0.94,0.0,1.6,2.57,4.8,1.58,0.57,0.58,14.78,0.1,8.48,0.6,6.15,3.61,4.12,0.44,0.08,0.06,5.98,5.24,1.63,2.29,0.51,7.37,2.61,8.22,0.3,10.43,2.16
1974-08-31,0.16,1.69,0.94,0.99,0.22,1.34,0.71,0.0,0.0,0.4,0.16,0.03,0.06,0.11,0,2.66,2.58,0.44,0.0,0.33,0.52,0.88,0.0,0.11,0.11,3.43,0.02,2.02,0.14,1.54,0.9,1.03,0.13,0.02,0.05,1.05,0.57,1.38,1.94,0.44,0.0,1.63,6.18,0.17,0.0,0.65
1974-09-30,0.07,0.59,0.66,0.45,0.05,0.2,0.07,0.0,0.0,0.33,0.13,0.01,0.02,0.06,0,1.87,5.34,0.92,0.0,0.06,0.09,0.27,0.0,0.14,0.15,1.97,0.01,0.99,0.07,0.45,0.26,0.3,0.09,0.02,0.05,0.33,0.01,0.56,0.79,0.18,0.0,1.21,6.23,0.2,0.0,0.41
1974-10-31,0.08,1.05,0.57,0.26,0.11,0.0,0.04,0.0,0.0,0.33,0.13,0.01,0.03,0.06,0,1.91,3.54,0.61,0.0,0.13,0.2,0.17,0.0,0.1,0.11,2.38,0.02,1.34,0.09,0.43,0.25,0.29,0.12,0.02,0.01,0.6,0.0,0.32,0.45,0.1,0.56,1.24,3.62,0.41,0.0,0.38
1974-11-30,0.15,0.56,0.71,0.68,0.24,0.0,0.29,0.13,0.19,0.27,0.11,0.03,0.05,0.1,0,2.58,6.14,1.06,0.0,0.19,0.31,0.09,0.0,0.0,0.0,3.18,0.02,2.08,0.15,0.74,0.43,0.5,0.2,0.04,0.02,1.22,0.84,0.13,0.18,0.04,1.79,0.97,3.3,0.74,1.89,0.35
1974-12-31,0.3,1.09,0.94,1.13,0.58,1.89,0.71,0.59,0.88,0.54,0.21,0.06,0.11,0.23,0,3.3,4.72,0.81,0.0,0.31,0.5,0.55,0.29,0.08,0.08,5.85,0.04,3.64,0.26,1.07,0.63,0.72,0.46,0.08,0.1,2.65,0.97,0.8,1.12,0.25,0.0,1.16,2.64,1.13,4.48,0.52
1975-01-31,0.7,2.62,2.1,1.17,0.53,4.52,0.89,1.29,1.93,1.0,0.4,0.18,0.32,0.68,0,8.73,6.74,1.16,0.98,0.34,0.55,0.2,0.45,0.03,0.03,13.07,0.09,8.46,0.6,1.56,0.92,1.05,0.73,0.13,0.26,3.55,1.33,1.02,1.43,0.32,4.93,2.43,5.43,3.23,7.53,0.39
1975-02-28,0.77,3.37,5.04,1.22,0.66,7.92,2.11,1.12,1.67,1.99,0.79,0.33,0.6,1.28,0,23.53,18.4,3.17,9.22,0.3,0.48,0.43,0.56,0.13,0.13,42.35,0.29,27.34,1.94,2.03,1.19,1.36,1.25,0.22,0.41,4.71,1.74,1.43,2.01,0.45,19.1,6.54,9.08,9.79,30.1,0.48
1975-03-31,1.44,7.7,10.22,2.55,0.83,14.91,1.86,3.21,4.79,4.31,1.71,0.77,1.39,2.98,0,40.61,32.11,5.53,12.36,0.56,0.89,0.25,0.67,0.53,0.54,69.27,0.47,44.07,3.12,4.83,2.83,3.24,3.46,0.62,1.37,10.86,2.56,4.14,5.81,1.31,31.67,11.81,9.83,18.95,46.94,0.41
1975-04-30,1.65,8.22,9.35,2.55,1.0,12.81,0.0,3.6,5.38,3.85,1.53,0.8,1.46,3.07,0,30.6,26.53,4.57,2.5,0.56,0.9,0.25,0.92,1.24,1.28,45.04,0.31,26.83,1.9,6.16,3.62,4.13,3.72,0.67,1.5,14.49,2.99,6.32,8.87,2.0,13.63,6.18,14.02,12.97,14.66,0.41
1975-05-31,10.14,47.8,16.17,31.12,7.48,70.02,11.79,16.02,23.93,5.0,1.98,2.13,4.96,3.81,0,46.1,28.55,4.92,0.0,3.13,5.02,8.97,12.8,2.77,2.84,95.44,0.65,56.58,4.01,40.29,23.65,27.01,11.08,1.99,3.74,73.07,21.52,16.34,22.94,5.16,0.0,10.8,0.0,8.95,0.0,3.76
1975-06-30,8.28,32.76,4.29,35.04,8.79,68.29,3.53,5.96,8.9,1.43,0.57,0.48,1.43,1.27,0,12.7,8.33,1.44,0.0,5.2,8.35,14.51,13.9,1.63,1.67,61.54,0.42,36.81,2.61,37.5,22.01,25.14,2.99,0.54,0.57,52.3,22.97,5.59,7.85,1.77,0.0,4.32,0.0,1.47,0.0,5.9
1975-07-31,0.73,6.8,1.51,10.21,1.93,10.82,2.11,0.57,0.85,0.55,0.22,0.07,0.12,0.24,0,3.78,4.09,0.7,0.0,1.72,2.76,5.28,1.99,0.45,0.46,11.07,0.08,6.29,0.45,7.32,4.3,4.91,0.43,0.08,0.06,8.35,4.47,1.78,2.5,0.56,0.0,1.42,4.02,0.17,0.01,2.34
1975-08-31,0.18,1.76,0.93,1.49,0.31,1.24,1.11,0.0,0.0,0.49,0.19,0.03,0.05,0.1,0,2.73,2.94,0.51,0.0,0.41,0.66,0.88,0.0,0.21,0.21,3.73,0.03,2.0,0.14,1.58,0.93,1.06,0.22,0.04,0.02,1.21,1.19,0.73,1.02,0.23,2.27,1.01,2.87,0.09,0.0,0.65
1975-09-30,0.06,0.94,0.68,0.27,0.11,0.0,0.7,0.0,0.0,0.31,0.12,0.02,0.03,0.06,0,1.93,4.32,0.74,0.0,0.14,0.22,0.45,0.0,0.07,0.07,2.02,0.01,1.18,0.08,0.81,0.48,0.54,0.12,0.02,0.06,0.58,0.29,0.83,1.17,0.26,0.0,0.88,0.0,0.13,0.0,0.48
1975-10-31,0.63,4.34,1.23,7.22,1.7,4.57,1.3,0.86,1.28,0.51,0.2,0.08,0.14,0.3,0,4.78,9.13,1.57,0.0,0.82,1.31,0.86,1.13,0.39,0.4,8.77,0.06,4.92,0.35,2.56,1.5,1.72,0.48,0.09,0.33,7.73,3.44,0.9,1.26,0.28,3.23,1.48,3.12,0.35,0.0,0.64
1975-11-30,0.86,3.8,1.3,4.47,1.08,7.43,1.34,0.83,1.24,0.62,0.25,0.21,0.38,0.83,0,4.8,3.8,0.65,0.84,0.46,0.74,0.69,0.79,0.43,0.44,10.6,0.07,6.04,0.43,3.28,1.93,2.2,0.59,0.11,0.58,4.46,2.85,3.47,4.87,1.1,0.0,1.43,0.0,0.5,1.57,0.58
1975-12-31,0.56,2.37,1.08,1.59,0.68,3.39,0.74,0.45,0.67,0.5,0.2,0.15,0.26,0.57,0,3.29,3.63,0.63,0.84,0.25,0.4,0.25,0.61,0.0,0.0,7.07,0.05,4.61,0.33,2.32,1.36,1.56,0.42,0.07,0.23,0.49,1.52,2.67,3.75,0.84,0.0,1.12,0.88,0.4,3.0,0.41
1976-01-31,0.45,1.91,0.97,0.97,0.47,1.59,0.5,0.36,0.54,0.52,0.21,0.09,0.16,0.33,0,2.61,3.95,0.68,0.0,0.14,0.23,0.3,0.0,0.03,0.03,5.49,0.04,3.52,0.25,1.76,1.03,1.18,0.27,0.05,0.1,1.55,1.5,0.58,0.81,0.18,0.79,0.76,5.39,0.26,3.8,0.43
1976-02-29,0.48,1.65,1.23,1.39,0.61,3.32,1.0,0.72,1.08,0.64,0.25,0.09,0.17,0.36,0,4.61,7.89,1.36,0.0,0.17,0.27,0.63,0.37,0.18,0.18,8.38,0.06,5.1,0.36,1.84,1.08,1.23,0.45,0.08,0.13,4.25,1.36,0.11,0.15,0.03,4.2,0.89,3.9,0.41,6.66,0.55
1976-03-31,1.32,4.81,2.69,3.04,1.24,10.18,1.51,2.11,3.15,1.02,0.4,0.24,0.43,0.93,0,11.2,8.13,1.4,0.0,0.42,0.67,0.68,0.89,0.55,0.57,17.04,0.12,9.99,0.71,3.85,2.26,2.58,1.28,0.23,0.24,7.91,2.27,0.56,0.79,0.18,6.76,1.39,0.26,0.39,6.29,0.57
1976-04-30,1.94,8.07,2.29,6.69,2.32,13.08,2.9,2.9,4.33,0.9,0.36,0.23,0.42,0.89,0,9.32,4.43,0.76,0.0,0.77,1.24,1.58,2.23,0.97,0.99,16.97,0.12,9.1,0.64,6.05,3.55,4.06,1.54,0.28,0.08,13.08,4.4,0.0,0.0,0.0,6.46,1.11,2.39,0.17,4.91,0.92
1976-05-31,1.83,9.12,1.37,14.35,4.56,17.54,2.51,1.82,2.72,0.12,0.05,0.14,0.42,0.36,0,5.36,2.23,0.38,0.0,2.1,3.36,5.62,4.25,0.67,0.68,16.59,0.11,9.46,0.67,9.59,5.63,6.43,0.95,0.17,0.1,13.49,6.92,1.22,1.71,0.39,0.0,0.85,1.59,0.06,2.96,2.47
1976-06-30,0.21,1.5,0.7,2.51,1.02,1.72,1.01,0.0,0.0,0.09,0.04,0.04,0.08,0.16,0,2.21,0.96,0.17,0.0,0.6,0.96,1.48,0.0,0.16,0.16,3.51,0.02,1.97,0.14,2.29,1.34,1.54,0.2,0.04,0.01,0.72,1.39,0.81,1.14,0.26,0.4,0.16,2.09,0.0,0.0,0.88
1976-07-31,0.05,0.15,0.53,0.52,0.27,0.64,0.29,0.0,0.0,0.2,0.08,0.02,0.03,0.06,0,1.27,1.03,0.18,0.0,0.16,0.26,0.65,0.0,0.08,0.08,1.31,0.01,0.69,0.05,0.52,0.31,0.35,0.08,0.01,0.0,0.0,0.41,0.27,0.38,0.09,0.0,0.04,1.54,0.0,0.0,0.56
1976-08-31,0.09,0.9,0.52,1.89,0.51,0.84,1.14,0.0,0.0,0.04,0.02,0.02,0.03,0.06,0,1.49,0.0,0.0,0.0,0.44,0.71,0.82,0.0,0.13,0.14,1.72,0.01,0.86,0.06,1.03,0.6,0.69,0.14,0.03,0.01,3.5,1.7,0.0,0.0,0.0,0.0,0.14,2.16,0.0,0.0,0.63
1976-09-30,0.05,0.0,0.37,0.54,0.21,1.65,0.15,0.0,0.0,0.16,0.06,0.01,0.02,0.06,0,1.2,0.96,0.17,0.0,0.22,0.35,0.37,0.11,0.05,0.05,1.28,0.01,0.74,0.05,0.61,0.36,0.41,0.07,0.01,0.02,1.58,0.26,0.12,0.17,0.04,0.28,0.32,1.36,0.01,0.0,0.45
1976-10-31,0.04,0.34,0.43,0.35,0.48,0.11,0.0,0.0,0.0,0.47,0.19,0.01,0.02,0.03,0,1.13,0.37,0.06,1.6,0.22,0.35,0.21,0.0,0.0,0.0,1.17,0.01,0.76,0.05,0.29,0.17,0.19,0.09,0.02,0.0,0.58,0.71,0.0,0.0,0.0,2.03,0.0,0.87,0.0,2.64,0.39
1976-11-30,0.06,0.35,0.47,0.17,0.33,0.0,0.0,0.0,0.0,0.18,0.07,0.01,0.02,0.04,0,1.25,0.0,0.0,0.0,0.14,0.23,0.04,0.0,0.03,0.03,1.5,0.01,0.92,0.07,0.32,0.19,0.21,0.09,0.02,0.01,0.94,0.39,0.0,0.0,0.0,0.78,0.0,1.77,0.0,0.63,0.33
1976-12-31,0.05,0.0,0.42,0.13,0.26,0.0,0.0,0.0,0.0,0.17,0.07,0.01,0.02,0.05,0,1.08,0.0,0.0,0.45,0.08,0.12,0.12,0.0,0.0,0.0,1.2,0.01,0.78,0.06,0.25,0.15,0.17,0.07,0.01,0.01,1.11,0.26,-0.0,-0.0,-0.0,0.0,0.0,0.04,0.0,0.0,0.36
