,I_BVC007,I_SFS033,I_PCRST,I_SFS030,I_NFS033,I_MIL003,I_ANG017,I_RLIEF,I_MFS047,I_CFS001,I_DONLL,I_MFS022,I_LYONS,I_SPICE,I_NFS009,I_NFS005,I_BEARD,I_MFS013,I_TULOC,I_STS059,I_STS072
1956-11-30,0.93,0.55,0.83,0.14,2.73,0.39,0.19,1.18,0.93,2.71,0.34,0.09,0.64,0.08,0.37,0.02,0.51,0.16,0.22,0.05,1.24
1956-12-31,0.64,0.22,0.33,0.09,1.67,0.27,0.13,0.31,0.24,2.59,0.57,0.16,0.41,0.59,0.93,0.05,0.41,0.13,0.31,0.07,2.31
1957-01-31,0.69,0.69,1.04,0.15,0.96,0.29,0.14,0.48,0.38,1.72,1.04,0.29,0.66,0.41,1.12,0.06,0.37,0.12,0.58,0.12,3.31
1957-02-28,3.02,1.06,1.59,0.04,2.36,1.26,0.62,0.7,0.55,3.14,7.1,2.0,0.18,3.06,11.67,0.66,1.96,0.62,1.66,0.35,18.72
1957-03-31,6.0,2.14,3.21,0.33,5.08,2.5,1.23,1.19,0.94,4.59,12.81,3.61,1.47,7.31,21.26,1.2,3.71,1.17,4.82,1.02,33.83
1957-04-30,6.8,4.22,6.34,0.25,11.01,2.83,1.39,4.66,3.66,9.27,14.23,4.01,1.09,17.43,27.75,1.56,3.49,1.1,0.79,0.17,22.56
1957-05-31,8.01,9.56,14.34,0.31,17.77,3.34,1.64,11.24,8.83,20.82,56.6,15.97,1.35,30.02,45.8,2.58,7.75,2.45,1.6,0.34,24.74
1957-06-30,2.73,10.92,16.38,0.0,8.65,1.14,0.56,19.11,15.01,31.58,27.75,7.83,0.0,20.43,13.79,0.78,3.97,1.25,0.42,0.09,7.31
1957-07-31,0.5,1.09,1.63,0.12,1.03,0.21,0.1,4.86,3.82,6.93,8.53,2.4,0.5,1.8,1.69,0.1,0.7,0.22,0.15,0.03,2.22
1957-08-31,0.33,0.48,0.73,0.12,2.51,0.14,0.07,0.0,0.0,2.5,4.9,1.38,0.55,0.0,0.47,0.03,0.35,0.11,0.03,0.01,0.0
1957-09-30,0.31,0.44,0.66,0.11,2.01,0.13,0.06,0.0,0.0,1.81,2.25,0.64,0.5,0.12,0.92,0.05,0.64,0.2,0.04,0.01,0.0
1957-10-31,0.48,0.22,0.34,0.05,0.0,0.2,0.1,0.0,0.0,1.99,3.22,0.91,0.2,2.09,0.42,0.02,0.06,0.02,0.06,0.01,0.0
1957-11-30,0.73,0.46,0.69,0.08,0.24,0.3,0.15,3.91,3.07,1.95,0.0,0.0,0.35,0.0,0.29,0.02,0.0,0.0,0.13,0.03,0.58
1957-12-31,1.12,0.29,0.44,0.09,1.25,0.47,0.23,6.95,5.46,2.06,0.0,0.0,0.41,0.2,2.32,0.13,0.0,0.0,0.56,0.12,0.0
1958-01-31,1.64,0.67,1.01,0.16,1.29,0.68,0.34,0.47,0.37,2.01,5.01,1.41,0.7,0.28,2.67,0.15,1.08,0.34,3.07,0.65,11.29
1958-02-28,5.67,0.94,1.4,0.28,2.15,2.36,1.16,0.53,0.42,2.6,16.73,4.72,1.26,2.97,16.1,0.91,3.55,1.12,10.61,2.25,40.97
1958-03-31,8.7,1.86,2.79,1.26,3.17,3.62,1.78,0.91,0.71,3.04,21.27,6.0,5.55,3.07,14.7,0.83,5.06,1.6,12.59,2.66,74.36
1958-04-30,14.6,4.63,6.94,1.66,7.87,6.08,2.99,4.24,3.33,8.94,35.31,9.96,7.32,13.38,36.34,2.05,8.28,2.61,20.7,4.38,89.52
1958-05-31,16.36,17.42,26.12,1.0,29.22,6.81,3.35,20.85,16.38,43.75,102.24,28.84,4.4,53.36,104.02,5.86,13.81,4.36,1.77,0.37,72.97
1958-06-30,4.72,16.54,24.8,0.31,18.96,1.97,0.97,22.62,17.78,40.77,62.22,17.55,1.38,30.59,49.51,2.79,7.2,2.27,0.8,0.17,2.76
1958-07-31,1.27,4.93,7.39,0.0,4.45,0.53,0.26,12.62,9.91,17.51,17.86,5.04,0.0,6.41,5.59,0.31,1.92,0.61,0.34,0.07,4.91
1958-08-31,0.97,1.21,1.81,0.1,1.7,0.4,0.2,3.08,2.42,5.05,7.21,2.03,0.42,0.6,0.99,0.06,1.13,0.36,0.19,0.04,0.0
1958-09-30,0.21,0.0,0.0,0.16,0.31,0.09,0.04,5.67,4.46,2.6,0.0,0.0,0.7,1.2,1.28,0.07,0.0,0.0,0.0,0.0,0.0
1958-10-31,0.56,0.0,0.0,0.0,0.24,0.23,0.11,3.26,2.56,2.1,0.0,0.0,0.0,1.2,0.52,0.03,0.0,0.0,0.09,0.02,0.0
1958-11-30,0.57,0.0,0.0,0.04,0.39,0.24,0.12,0.35,0.28,1.86,0.87,0.25,0.18,0.0,0.44,0.02,0.43,0.14,0.16,0.03,2.81
1958-12-31,0.36,0.53,0.79,0.06,0.64,0.15,0.07,0.33,0.26,1.71,0.0,0.0,0.25,0.12,0.44,0.02,0.14,0.04,0.24,0.05,0.54
1959-01-31,1.82,1.01,1.52,0.07,2.35,0.76,0.37,0.49,0.38,2.55,4.45,1.26,0.29,0.27,5.28,0.3,1.33,0.42,1.05,0.22,10.79
1959-02-28,3.45,1.34,2.02,0.13,2.85,1.44,0.71,0.49,0.38,2.63,8.44,2.38,0.57,2.33,7.23,0.41,2.41,0.76,5.48,1.16,21.01
1959-03-31,4.61,2.35,3.52,0.19,6.02,1.92,0.94,1.14,0.89,4.41,12.18,3.44,0.84,7.38,16.61,0.94,3.14,0.99,0.86,0.18,18.56
1959-04-30,5.02,4.99,7.49,0.0,10.49,2.09,1.03,6.1,4.79,11.05,28.93,8.16,0.0,19.3,26.29,1.48,4.14,1.31,0.45,0.09,14.16
1959-05-31,2.21,7.9,11.85,0.15,11.21,0.92,0.45,6.46,5.08,15.16,25.01,7.05,0.67,15.52,12.12,0.68,3.15,0.99,0.2,0.04,0.0
1959-06-30,0.81,3.33,4.99,0.14,7.17,0.34,0.17,9.95,7.82,13.36,8.51,2.4,0.62,6.62,0.7,0.04,1.53,0.48,0.16,0.03,0.93
1959-07-31,0.22,0.28,0.42,0.13,1.27,0.09,0.05,2.16,1.7,2.65,4.59,1.29,0.6,1.77,0.67,0.04,0.35,0.11,0.1,0.02,0.0
1959-08-31,0.05,0.75,1.13,0.0,0.0,0.02,0.01,0.96,0.75,1.49,0.0,0.0,0.01,1.19,0.07,0.0,0.0,0.0,0.09,0.02,0.0
1959-09-30,0.44,0.67,1.01,0.0,0.38,0.18,0.09,5.59,4.39,1.74,0.0,0.0,0.0,0.0,0.44,0.02,0.0,0.0,0.05,0.01,0.0
1959-10-31,0.25,0.48,0.71,0.03,0.0,0.1,0.05,3.55,2.79,1.44,0.0,0.0,0.11,0.44,0.0,0.0,0.0,0.0,0.04,0.01,0.0
1959-11-30,0.28,0.47,0.7,0.07,0.0,0.12,0.06,0.0,0.0,1.22,0.31,0.09,0.29,0.0,0.0,0.0,0.26,0.08,0.06,0.01,0.0
1959-12-31,0.3,0.0,0.0,0.03,0.58,0.12,0.06,0.34,0.27,1.25,0.0,0.0,0.15,0.08,0.32,0.02,0.07,0.02,0.11,0.02,0.32
1960-01-31,0.69,0.55,0.82,0.09,1.15,0.29,0.14,0.48,0.38,1.48,1.55,0.44,0.42,0.13,0.39,0.02,0.47,0.15,0.4,0.08,4.41
1960-02-29,3.04,0.69,1.04,0.15,2.05,1.27,0.62,0.39,0.31,1.98,8.97,2.53,0.68,0.24,8.61,0.48,2.04,0.64,3.47,0.73,22.46
1960-03-31,5.38,1.8,2.71,0.17,4.79,2.24,1.1,1.07,0.84,4.23,13.3,3.75,0.76,8.38,25.42,1.43,3.4,1.07,0.98,0.21,22.72
1960-04-30,6.3,5.0,7.5,0.0,13.36,2.62,1.29,6.95,5.46,11.97,25.74,7.26,0.0,17.02,30.12,1.7,4.44,1.4,0.72,0.15,20.92
1960-05-31,2.9,8.96,13.44,0.27,12.14,1.21,0.59,10.39,8.16,18.63,33.68,9.5,1.17,16.48,23.89,1.34,4.27,1.35,0.46,0.1,0.0
1960-06-30,0.88,3.98,5.97,0.09,2.23,0.37,0.18,10.18,8.0,13.69,11.49,3.24,0.4,5.44,3.88,0.22,1.52,0.48,0.03,0.01,1.31
1960-07-31,0.35,0.67,1.0,0.14,0.18,0.15,0.07,2.45,1.92,2.52,1.14,0.32,0.63,2.42,0.92,0.05,0.38,0.12,0.09,0.02,0.0
1960-08-31,0.06,1.18,1.77,0.04,0.95,0.02,0.01,0.61,0.48,1.34,0.0,0.0,0.18,0.11,0.3,0.02,0.0,0.0,0.09,0.02,0.0
1960-09-30,0.03,0.21,0.31,0.0,0.98,0.01,0.01,0.4,0.32,1.14,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.08,0.02,0.0
1960-10-31,0.0,0.0,0.0,-0.0,0.95,0.0,0.0,2.79,2.19,1.23,0.0,0.0,-0.0,0.0,0.21,0.01,0.0,0.0,0.04,0.01,0.0
1960-11-30,0.57,0.05,0.07,0.0,0.52,0.24,0.12,0.06,0.05,1.33,2.67,0.75,0.0,0.0,0.21,0.01,0.4,0.13,0.04,0.01,1.99
1960-12-31,0.57,0.19,0.28,0.0,1.31,0.24,0.12,0.1,0.08,1.55,1.57,0.44,0.0,0.0,2.15,0.12,0.41,0.13,0.24,0.05,1.29
1961-01-31,0.5,0.57,0.86,0.0,1.25,0.21,0.1,0.1,0.08,1.4,1.07,0.3,0.0,0.03,1.2,0.07,0.34,0.11,0.15,0.03,1.9
1961-02-28,1.23,0.65,0.98,0.0,2.16,0.51,0.25,0.18,0.14,1.81,2.75,0.77,0.0,0.66,4.16,0.23,0.82,0.26,0.31,0.07,7.38
1961-03-31,2.46,1.46,2.18,0.0,2.93,1.02,0.5,0.38,0.3,2.48,5.6,1.58,0.0,3.82,7.74,0.44,1.66,0.52,0.73,0.16,14.0
1961-04-30,4.96,4.33,6.5,-0.0,7.75,2.07,1.02,5.94,4.67,8.3,13.41,3.78,-0.0,13.93,21.22,1.19,3.6,1.14,0.38,0.08,12.73
1961-05-31,2.74,5.99,8.99,-0.0,9.91,1.14,0.56,7.82,6.14,14.52,26.27,7.41,-0.0,16.42,16.72,0.94,3.22,1.02,0.26,0.06,0.0
1961-06-30,0.7,2.86,4.29,0.0,2.4,0.29,0.14,7.82,6.14,12.14,9.8,2.77,0.0,5.55,3.62,0.2,1.42,0.45,0.09,0.02,0.0
1961-07-31,0.09,0.87,1.31,0.0,2.39,0.04,0.02,1.58,1.24,2.43,0.36,0.1,0.0,0.19,0.38,0.02,0.1,0.03,0.1,0.02,0.0
1961-08-31,0.14,1.41,2.11,-0.0,1.31,0.06,0.03,0.6,0.47,1.42,1.58,0.44,-0.0,0.0,0.0,0.0,0.16,0.05,0.1,0.02,0.0
1961-09-30,0.16,0.23,0.35,-0.0,0.0,0.07,0.03,0.79,0.62,1.12,0.37,0.1,-0.0,0.67,0.0,0.0,0.29,0.09,0.06,0.01,0.0
1961-10-31,0.11,0.01,0.02,0.14,0.0,0.05,0.02,1.21,0.95,1.24,0.0,0.0,0.61,0.85,0.0,0.0,0.0,0.0,0.05,0.01,0.0
1961-11-30,0.23,0.07,0.1,0.08,0.0,0.1,0.05,0.0,0.0,1.26,1.49,0.42,0.33,0.29,0.19,0.01,0.0,0.0,0.02,0.0,0.0
1961-12-31,0.5,0.08,0.12,0.12,1.13,0.21,0.1,0.43,0.34,1.63,0.66,0.19,0.5,0.4,1.14,0.06,0.48,0.15,0.21,0.04,0.0
1962-01-31,0.63,0.28,0.43,0.14,1.49,0.26,0.13,0.45,0.35,1.3,1.07,0.3,0.63,0.49,1.05,0.06,0.39,0.12,0.29,0.06,1.22
1962-02-28,4.63,0.78,1.16,0.29,2.17,1.93,0.95,0.63,0.49,1.84,15.31,4.32,1.28,1.01,9.4,0.53,3.2,1.01,10.77,2.28,32.66
1962-03-31,3.88,1.95,2.92,0.59,2.96,1.62,0.79,0.75,0.59,1.86,9.43,2.66,2.59,2.97,9.19,0.52,2.47,0.78,4.74,1.0,25.81
1962-04-30,12.87,6.33,9.49,0.54,18.71,5.36,2.64,8.34,6.55,16.58,31.6,8.91,2.38,27.96,52.3,2.94,8.28,2.61,0.95,0.2,54.96
1962-05-31,6.62,11.09,16.63,0.17,19.95,2.76,1.36,12.92,10.15,22.31,46.65,13.16,0.75,28.67,46.81,2.64,6.02,1.9,0.41,0.09,4.96
1962-06-30,2.99,12.51,18.77,0.14,11.55,1.24,0.61,20.56,16.16,32.35,31.43,8.86,0.63,23.22,19.26,1.08,4.33,1.37,0.0,0.0,1.15
1962-07-31,0.91,1.72,2.58,0.03,0.6,0.38,0.19,8.31,6.53,10.75,11.42,3.22,0.15,3.55,1.66,0.09,1.04,0.33,0.09,0.02,4.3
1962-08-31,0.27,1.09,1.63,0.08,0.36,0.11,0.06,2.11,1.66,3.09,0.0,0.0,0.38,1.9,0.97,0.05,0.0,0.0,0.08,0.02,0.0
1962-09-30,0.13,0.41,0.61,0.13,1.51,0.05,0.03,1.46,1.15,1.71,0.0,0.0,0.59,0.0,0.52,0.03,0.0,0.0,0.04,0.01,0.0
1962-10-31,0.55,0.0,0.0,0.0,1.56,0.23,0.11,4.25,3.34,1.99,0.0,0.0,0.0,0.55,2.36,0.13,0.0,0.0,0.23,0.05,0.0
1962-11-30,0.45,0.3,0.45,0.13,0.19,0.19,0.09,0.48,0.37,1.56,0.0,0.0,0.57,0.11,0.49,0.03,0.43,0.13,0.14,0.03,0.0
1962-12-31,1.05,0.32,0.48,0.08,1.18,0.44,0.22,0.44,0.34,1.8,2.63,0.74,0.34,0.95,3.5,0.2,0.69,0.22,0.47,0.1,1.99
1963-01-31,3.2,0.77,1.15,0.0,1.68,1.33,0.66,0.67,0.53,2.68,10.37,2.93,0.0,3.98,20.11,1.13,2.3,0.73,2.75,0.58,10.0
1963-02-28,11.0,2.52,3.78,0.33,7.53,4.58,2.25,2.35,1.84,10.59,22.11,6.23,1.43,16.82,44.85,2.53,6.96,2.2,6.0,1.27,60.55
1963-03-31,3.47,1.84,2.77,0.31,4.96,1.44,0.71,1.71,1.34,5.26,6.11,1.72,1.37,5.04,11.19,0.63,1.86,0.59,3.81,0.81,13.96
1963-04-30,7.27,4.58,6.87,1.17,7.42,3.03,1.49,3.21,2.52,6.94,23.59,6.65,5.16,9.49,25.55,1.44,4.25,1.34,9.84,2.08,30.75
1963-05-31,11.27,15.4,23.1,0.89,20.89,4.69,2.31,16.51,12.98,33.95,83.26,23.48,3.92,37.49,64.0,3.6,10.12,3.19,2.21,0.47,48.91
1963-06-30,2.9,11.86,17.79,0.22,9.72,1.21,0.59,18.79,14.76,35.55,37.78,10.66,0.95,19.86,16.53,0.93,4.08,1.29,0.66,0.14,14.71
1963-07-31,0.88,2.05,3.08,0.0,0.74,0.37,0.18,9.99,7.85,14.68,8.69,2.45,0.01,3.64,2.36,0.13,0.91,0.29,0.19,0.04,6.35
1963-08-31,0.45,1.19,1.78,0.11,0.0,0.19,0.09,2.53,1.99,3.6,1.61,0.45,0.5,2.32,0.45,0.03,0.37,0.12,0.05,0.01,0.0
1963-09-30,0.34,0.34,0.51,0.14,1.12,0.14,0.07,1.45,1.14,2.31,0.0,0.0,0.63,0.4,1.02,0.06,0.6,0.19,0.03,0.01,0.0
1963-10-31,0.43,0.0,0.0,0.07,2.01,0.18,0.09,3.57,2.8,2.16,0.0,0.0,0.33,0.04,1.26,0.07,0.0,0.0,0.18,0.04,0.0
1963-11-30,2.41,0.35,0.53,0.04,3.35,1.0,0.49,1.04,0.82,3.78,6.28,1.77,0.2,3.37,9.52,0.54,1.75,0.55,1.53,0.32,6.56
1963-12-31,1.42,0.74,1.11,0.23,3.4,0.59,0.29,0.72,0.57,3.21,1.42,0.4,1.01,4.35,5.98,0.34,0.85,0.27,0.39,0.08,0.2
1964-01-31,1.83,1.21,1.81,0.16,2.57,0.76,0.37,0.53,0.42,2.62,3.22,0.91,0.72,2.62,3.51,0.2,1.17,0.37,2.83,0.6,7.39
1964-02-29,1.63,0.86,1.28,0.13,2.9,0.68,0.33,0.59,0.46,2.46,2.33,0.66,0.56,2.58,5.48,0.31,1.09,0.34,0.85,0.18,6.45
1964-03-31,2.67,1.8,2.7,0.18,4.2,1.11,0.55,0.73,0.57,3.09,6.31,1.78,0.81,2.83,8.8,0.5,1.62,0.51,1.09,0.23,12.4
1964-04-30,5.28,4.53,6.79,0.06,7.02,2.2,1.08,4.35,3.41,8.25,18.21,5.14,0.29,11.66,25.49,1.44,4.04,1.28,0.95,0.2,19.34
1964-05-31,4.44,8.5,12.75,0.08,13.45,1.85,0.91,10.88,8.55,19.13,36.29,10.24,0.36,19.83,29.87,1.68,4.31,1.36,0.58,0.12,3.12
1964-06-30,1.29,5.71,8.56,0.03,5.88,0.54,0.26,10.48,8.23,17.86,22.11,6.24,0.13,9.93,10.58,0.6,2.25,0.71,0.25,0.05,0.0
1964-07-31,0.34,0.76,1.14,0.1,0.1,0.14,0.07,3.27,2.57,4.8,4.04,1.14,0.46,2.06,1.59,0.09,0.38,0.12,0.0,0.0,0.0
1964-08-31,0.17,1.21,1.81,0.11,1.02,0.07,0.03,0.83,0.65,1.79,0.59,0.17,0.47,1.6,0.54,0.03,0.16,0.05,0.01,0.0,0.0
1964-09-30,0.18,0.46,0.7,0.04,1.47,0.07,0.04,0.49,0.38,1.23,0.44,0.12,0.2,0.0,0.94,0.05,0.37,0.12,0.01,0.0,0.0
1964-10-31,0.18,0.0,0.0,0.0,0.33,0.07,0.04,0.98,0.77,1.17,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.02,0.0,0.0
1964-11-30,0.97,0.23,0.35,0.05,0.53,0.4,0.2,0.73,0.57,1.9,4.86,1.37,0.22,0.0,1.62,0.09,0.58,0.18,0.81,0.17,4.35
1964-12-31,18.4,4.59,6.89,0.55,10.38,7.66,3.77,3.29,2.59,17.31,44.72,12.61,2.43,24.42,88.2,4.97,11.94,3.77,14.79,3.13,80.68
1965-01-31,11.45,2.81,4.22,1.13,4.74,4.77,2.34,8.15,6.4,8.09,21.32,6.01,4.99,6.33,30.23,1.7,6.92,2.19,12.06,2.55,73.24
1965-02-28,4.84,1.97,2.96,0.48,4.75,2.02,0.99,1.4,1.1,5.81,15.41,4.35,2.14,5.1,19.17,1.08,1.89,0.6,2.02,0.43,26.86
1965-03-31,3.68,3.07,4.61,0.3,6.91,1.53,0.75,1.6,1.26,6.64,18.38,5.18,1.34,7.4,18.97,1.07,3.71,1.17,1.95,0.41,14.92
1965-04-30,7.69,7.66,11.49,0.58,14.18,3.2,1.57,4.84,3.81,12.52,53.09,14.98,2.56,18.8,41.94,2.36,4.71,1.49,7.34,1.55,33.22
1965-05-31,6.25,12.17,18.26,0.34,22.12,2.6,1.28,13.92,10.94,30.37,62.51,17.63,1.48,32.91,56.28,3.17,7.27,2.29,1.28,0.27,9.56
1965-06-30,3.02,12.86,19.3,0.06,14.65,1.26,0.62,18.97,14.91,37.87,45.29,12.78,0.27,25.41,26.36,1.48,4.04,1.28,0.58,0.12,4.14
1965-07-31,1.2,3.83,5.74,0.0,2.23,0.5,0.25,13.73,10.79,20.78,11.61,3.27,0.0,6.71,3.29,0.19,1.47,0.46,0.36,0.08,10.79
1965-08-31,0.98,1.35,2.03,0.0,0.99,0.41,0.2,6.05,4.75,7.9,7.29,2.06,0.0,3.11,2.72,0.15,0.87,0.28,0.25,0.05,0.0
1965-09-30,0.45,0.49,0.73,0.1,0.0,0.19,0.09,1.78,1.4,3.62,0.0,0.0,0.46,1.95,1.01,0.06,0.55,0.17,0.05,0.01,0.0
1965-10-31,0.32,0.0,0.0,0.03,1.23,0.13,0.07,3.32,2.61,2.54,0.0,0.0,0.13,0.75,1.18,0.07,0.0,0.0,0.16,0.03,0.0
1965-11-30,2.36,1.05,1.58,0.1,0.79,0.98,0.48,0.31,0.24,2.7,7.56,2.13,0.44,0.1,7.79,0.44,1.59,0.5,1.24,0.26,12.09
1965-12-31,1.87,0.82,1.23,0.35,1.44,0.78,0.38,0.25,0.2,2.27,3.92,1.1,1.53,1.14,4.46,0.25,1.2,0.38,2.26,0.48,10.23
1966-01-31,2.13,1.16,1.74,0.39,1.78,0.89,0.44,0.07,0.06,2.08,4.76,1.34,1.74,1.04,4.23,0.24,1.27,0.4,2.23,0.47,13.23
1966-02-28,2.08,1.28,1.92,0.25,2.02,0.87,0.43,0.51,0.4,1.72,3.97,1.12,1.1,1.08,4.25,0.24,1.25,0.39,2.42,0.51,12.72
1966-03-31,5.32,2.43,3.65,0.22,7.73,2.22,1.09,2.29,1.8,5.36,11.78,3.32,0.95,7.78,22.28,1.25,3.09,0.98,1.04,0.22,20.49
1966-04-30,6.27,6.44,9.66,0.0,18.0,2.61,1.28,9.4,7.38,16.67,36.44,10.28,0.0,23.88,34.61,1.95,5.68,1.79,0.59,0.12,20.8
1966-05-31,2.67,11.01,16.52,0.12,11.58,1.11,0.55,14.94,11.74,26.54,26.69,7.53,0.54,21.19,13.13,0.74,4.14,1.31,0.27,0.06,0.48
1966-06-30,0.52,1.52,2.28,0.14,1.33,0.22,0.11,5.8,4.55,9.52,6.05,1.71,0.63,3.09,1.72,0.1,0.86,0.27,0.11,0.02,2.35
1966-07-31,0.32,0.72,1.08,0.16,1.53,0.13,0.07,1.94,1.52,2.81,2.37,0.67,0.71,0.2,0.39,0.02,0.32,0.1,0.1,0.02,0.0
1966-08-31,0.16,0.87,1.3,0.07,1.84,0.07,0.03,0.89,0.7,1.48,0.0,0.0,0.31,0.01,0.17,0.01,0.0,0.0,0.16,0.03,0.0
1966-09-30,0.06,0.39,0.59,0.0,0.18,0.02,0.01,5.22,4.1,1.21,0.0,0.0,0.0,0.66,0.49,0.03,0.0,0.0,0.1,0.02,0.0
1966-10-31,0.12,0.0,0.0,0.0,0.0,0.05,0.02,0.0,0.0,1.18,0.34,0.1,0.0,0.55,0.11,0.01,0.0,0.0,0.0,0.0,0.0
1966-11-30,1.06,0.38,0.57,0.04,1.02,0.44,0.22,0.21,0.17,1.96,6.67,1.88,0.16,0.36,4.3,0.24,0.56,0.18,0.44,0.09,2.09
1966-12-31,5.64,0.99,1.49,0.19,3.48,2.35,1.15,0.71,0.56,3.65,20.33,5.74,0.83,6.85,21.39,1.2,3.48,1.1,4.2,0.89,26.74
1967-01-31,4.4,1.37,2.05,0.41,2.38,1.83,0.9,0.66,0.52,2.43,11.5,3.24,1.78,2.97,9.05,0.51,3.12,0.98,8.77,1.86,29.27
1967-02-28,3.96,1.41,2.12,0.48,3.12,1.65,0.81,0.78,0.62,3.24,8.97,2.53,2.1,4.36,15.59,0.88,2.34,0.74,2.57,0.54,23.38
1967-03-31,10.17,2.95,4.42,1.04,6.88,4.23,2.08,1.54,1.21,7.05,21.77,6.14,4.58,13.11,36.57,2.06,6.43,2.03,7.19,1.52,57.3
1967-04-30,9.1,3.75,5.63,0.88,4.91,3.79,1.86,2.77,2.18,5.11,24.87,7.02,3.88,6.06,16.01,0.9,5.54,1.75,16.12,3.41,59.4
1967-05-31,17.61,12.09,18.13,1.7,22.53,7.33,3.61,15.0,11.79,31.35,85.34,24.07,7.5,37.82,72.57,4.09,11.08,3.5,3.85,0.81,106.42
1967-06-30,8.75,18.75,28.13,0.5,26.2,3.64,1.79,26.32,20.68,52.48,101.29,28.57,2.19,46.45,59.82,3.37,9.96,3.15,1.15,0.24,48.76
1967-07-31,2.56,11.07,16.61,0.05,7.2,1.07,0.52,23.24,18.26,38.74,33.88,9.56,0.21,17.88,9.9,0.56,3.53,1.12,0.32,0.07,17.63
1967-08-31,0.92,1.24,1.86,0.12,0.26,0.38,0.19,7.3,5.73,7.77,5.11,1.44,0.54,1.64,1.38,0.08,0.66,0.21,0.22,0.05,0.08
1967-09-30,0.61,0.44,0.66,0.17,0.22,0.25,0.12,2.42,1.9,3.45,0.6,0.17,0.77,2.43,1.5,0.08,1.31,0.41,0.01,0.0,0.0
1967-10-31,0.39,0.38,0.57,0.15,1.92,0.16,0.08,3.23,2.54,2.37,0.0,0.0,0.64,0.11,1.31,0.07,0.0,0.0,0.18,0.04,0.0
1967-11-30,0.59,0.51,0.76,0.13,1.26,0.25,0.12,0.0,0.0,1.94,1.08,0.3,0.59,0.0,0.59,0.03,0.36,0.11,0.28,0.06,0.0
1967-12-31,0.64,0.32,0.49,0.1,2.25,0.27,0.13,0.61,0.48,2.43,0.34,0.1,0.42,0.04,1.52,0.09,0.36,0.11,0.53,0.11,0.98
1968-01-31,1.16,0.43,0.65,0.1,1.34,0.48,0.24,0.51,0.4,1.78,2.65,0.75,0.45,0.08,2.77,0.16,0.83,0.26,1.26,0.27,7.42
1968-02-29,4.89,0.97,1.45,0.11,3.41,2.04,1.0,2.55,2.0,3.87,8.84,2.49,0.46,6.02,16.01,0.9,2.99,0.94,0.18,0.04,35.11
1968-03-31,4.73,2.18,3.28,0.21,4.34,1.97,0.97,2.17,1.71,5.35,9.95,2.81,0.94,7.82,16.2,0.91,2.89,0.91,2.41,0.51,21.39
1968-04-30,5.12,4.76,7.13,0.0,12.44,2.13,1.05,5.6,4.4,10.8,25.05,7.07,0.0,17.45,24.73,1.39,4.09,1.29,0.72,0.15,17.5
1968-05-31,3.0,9.44,14.16,0.01,13.09,1.25,0.61,13.17,10.35,21.5,27.84,7.85,0.06,21.85,18.11,1.02,4.46,1.41,0.35,0.07,0.0
1968-06-30,0.85,2.98,4.46,0.07,2.27,0.35,0.17,9.78,7.69,16.53,7.79,2.2,0.31,6.92,3.1,0.17,1.48,0.47,0.19,0.04,4.41
1968-07-31,0.18,0.6,0.91,0.16,0.07,0.07,0.04,2.36,1.85,3.55,1.53,0.43,0.72,1.65,0.77,0.04,0.25,0.08,0.1,0.02,0.0
1968-08-31,0.26,0.29,0.44,0.04,0.0,0.11,0.05,1.77,1.39,1.93,0.9,0.25,0.17,0.8,0.05,0.0,0.22,0.07,0.05,0.01,0.0
1968-09-30,0.17,1.19,1.79,0.0,0.43,0.07,0.03,4.46,3.5,1.26,0.0,0.0,0.0,0.28,0.17,0.01,0.0,0.0,0.0,0.0,0.0
1968-10-31,0.29,1.33,1.99,0.0,1.82,0.12,0.06,0.0,0.0,1.54,1.8,0.51,0.0,0.09,0.41,0.02,0.0,0.0,0.02,0.0,0.0
1968-11-30,1.9,2.28,3.42,0.1,2.24,0.79,0.39,0.9,0.71,2.93,7.86,2.22,0.45,1.09,4.11,0.23,1.2,0.38,0.46,0.1,3.06
1968-12-31,2.46,0.0,0.0,0.2,1.46,1.02,0.5,1.25,0.99,2.13,7.43,2.1,0.88,2.99,2.39,0.13,1.71,0.54,2.34,0.5,16.89
1969-01-31,17.48,1.16,1.73,2.15,3.79,7.28,3.58,3.05,2.4,4.26,49.71,14.02,9.47,9.25,43.05,2.42,11.16,3.53,23.08,4.88,137.92
1969-02-28,9.37,1.06,1.59,0.65,2.99,3.9,1.92,2.03,1.59,3.45,23.21,6.55,2.89,3.63,12.53,0.71,5.46,1.72,16.11,3.41,77.63
1969-03-31,7.91,3.23,4.84,0.92,5.17,3.29,1.62,1.54,1.21,4.63,22.44,6.33,4.06,6.3,17.0,0.96,5.12,1.62,7.69,1.63,49.97
1969-04-30,13.75,5.54,8.31,1.64,15.8,5.73,2.82,4.18,3.28,17.84,62.35,17.59,7.25,23.57,55.71,3.14,10.22,3.23,5.08,1.08,86.81
1969-05-31,13.98,22.84,34.26,1.15,50.91,5.82,2.86,27.67,21.74,62.59,106.4,30.01,5.07,64.78,87.08,4.9,11.37,3.59,1.47,0.31,41.66
1969-06-30,4.1,17.12,25.68,0.39,22.87,1.71,0.84,24.82,19.5,54.86,60.65,17.11,1.73,36.45,36.48,2.05,5.56,1.76,0.64,0.13,2.82
