,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep
1949,2.657734179,1.685382146,2.542431478,2.436579699,3.569222811,9.982038412,83.62225948,105.8427342,24.75148521,2.51572509,2.589346228,2.275407787
1950,1.436219412,1.480539277,2.30920572,8.17955631,18.95230532,34.47595258,91.76136789,129.0173587,51.47522267,5.812104539,2.265828995,2.064206665
1951,6.292747947,150.7667321,129.3999345,26.94737531,27.85148769,32.01670418,62.09022046,62.17432904,16.4228692,4.938923422,3.312147573,1.938706375
1952,1.936555265,3.914077894,11.30708048,11.43208348,19.2916899,23.680225,110.1278484,224.1534332,126.1315555,28.59790676,5.256506726,3.752120168
1953,3.631747098,2.370306658,4.318778219,19.38854956,16.38302633,24.56499474,84.39538446,80.34531672,74.64755706,12.54638482,2.746763506,1.808251512
1954,1.785841344,2.345935056,4.623361323,5.509427226,12.63829386,45.58970862,97.02864046,80.32557491,16.28077274,3.877009127,3.567286426,1.911132552
1955,1.38506332,1.57025999,6.060379222,5.785535417,10.66419446,22.20816474,38.82315708,88.7858119,30.3275766,4.186587022,3.486504472,3.040000414
1956,0.515906461,0.925694333,116.2442643,66.77065124,28.64343182,43.21375812,82.78164009,148.5894016,79.50289647,12.30108535,3.287848942,2.898229863
1957,3.483186172,4.135805325,3.884173519,3.2478842,20.7632419,40.84260858,64.55008085,104.1818175,46.37401307,5.116590219,3.331603646,3.416405682
1958,3.018542986,1.28177665,5.018800675,6.029509068,27.79232319,30.46362803,74.23053329,208.8129047,106.5677197,18.03079916,4.312154096,3.076960834
1959,2.547430999,1.426393871,1.585184455,10.02067891,16.26751184,35.55818936,62.57661156,41.74016064,15.34154242,3.972848874,1.31748824,1.279730281
1960,0.393331195,0.065387155,1.295556062,2.385679895,14.47359414,45.54444851,68.65628774,56.88061387,12.66694114,3.931121194,1.441654269,1.063425077
1961,1.17361402,1.317592112,4.161951516,3.049188648,8.46163598,17.42293657,49.17207615,46.81532866,12.49406976,3.0710346,1.267102181,0.709889824
1962,0.693777778,0.717489453,3.239379307,3.718838804,17.75432725,19.53578528,114.8853644,104.7703452,58.14486092,6.813028499,3.555336276,2.185509254
1963,5.153625845,1.262519609,6.878003961,30.10380916,82.72850453,25.29059648,51.17052212,137.2508146,49.93943707,7.75122502,3.242696306,2.938310675
1964,3.811627956,19.18983277,15.48580426,10.73159426,12.90073325,18.99780827,50.88604927,69.26996484,28.2777525,4.178955101,3.3639404,2.642821392
1965,0.568310557,3.217228813,146.3692269,54.44694788,34.94124837,38.03303022,84.96935215,120.7331651,70.92751642,13.61981077,7.952011236,3.464530666
1966,3.548779859,11.48136519,9.15675876,9.415939687,9.674262021,44.36183469,84.70951182,49.31354518,6.758655785,2.46616681,2.187144782,1.419675837
1967,0.791928342,6.987430997,38.56327353,19.30875465,27.90366218,68.78466754,36.98139905,154.6107157,144.5855901,38.09234643,4.279833361,4.845917501
1968,3.805408002,2.470530213,4.533416082,5.50471442,31.22814903,34.00351274,61.13470062,57.07490456,13.31585983,2.716299375,1.112121217,1.055576688
1969,2.630146237,9.572749569,9.439346402,75.99615699,29.22130173,37.34073527,111.9643102,221.6465881,101.9556673,18.849051,3.977681815,3.95919627
1970,5.560481621,5.082083067,24.03000672,103.7357684,34.08493076,42.88205509,50.92743154,96.30003153,39.83748233,6.696453379,3.279357326,1.357939015
1971,1.136622243,10.16496416,13.5500914,22.39085268,25.90556802,39.77889044,68.51829668,95.86166004,57.57754329,9.004854818,2.998666639,1.44875788
1972,1.526526465,5.252475626,7.863219862,6.992884388,13.15333677,63.13762893,57.00155111,77.88630066,23.32886916,2.965302487,1.703281259,0.987326832
1973,1.905756051,2.945922516,11.92165664,21.25148507,17.88228154,26.1295959,80.54682209,158.1705271,42.0861571,4.593267296,2.15968347,1.009541652
1974,2.793752721,40.51883602,30.42762867,56.77212337,21.12381153,61.34374046,74.24179432,135.2477615,52.63002811,10.45374126,4.91212568,0.729876613
1975,1.813419469,3.323671445,4.47436812,6.482019315,11.61850677,28.81356063,32.80769512,160.9900683,109.492985,13.48352793,3.27270109,3.560751621
1976,8.591920788,9.543824763,7.161191693,6.92834172,6.390458272,17.56427687,28.74179164,29.71761672,3.852993731,1.818942124,1.723581546,0.954986077
1977,1.110798352,1.247971879,0.974577604,1.731706102,2.812569494,5.182889956,12.09126352,17.48189134,8.96712454,2.165496844,0.694234462,0.71374858
1978,0.729961465,0.66661789,11.03757553,22.56131865,21.88140448,68.8304703,82.09551624,149.8723304,93.63092228,15.58275762,3.443855845,5.016768388
1979,3.897246311,2.853156997,3.663300281,14.07840056,13.3982557,35.76027683,71.88374209,139.7691663,33.34969266,5.047622158,1.826988216,1.262278223
1980,2.520708482,7.3730613,9.358392005,126.523859,65.81857001,39.59383169,83.77938105,117.3824816,81.24876606,24.08981045,4.139286204,2.519582233
1981,2.396110124,0.9474464,2.173778685,2.874887323,11.6924954,21.29317922,70.90967794,60.26327689,12.1993626,2.265106606,0.284444478,0.209864844
1982,2.746618785,43.83198096,81.98434315,32.75995922,106.0353575,56.59874215,132.4815629,162.1378742,73.2789706,20.87464278,3.712645405,2.229041264
1983,43.8856453,28.25781096,33.02424319,33.18325645,45.40658018,81.48583235,53.98341393,187.5656417,232.3217247,80.4228398,9.955005414,9.530871676
1984,6.008216217,87.3142327,84.81655276,36.36614096,22.71821675,48.20244897,58.47488165,98.35427473,38.34706955,6.225428323,-4.267133825,5.544623219
