,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep
1936,2.283990083,2.08246074,3.066331908,9.086965083,24.90590063,47.09322645,100.3377071,117.6810815,53.4435139,5.616400652,1.905577155,1.043382222
1937,1.704643339,2.381602252,3.967321574,3.352967238,12.49802531,21.56178763,58.5625902,151.9816175,38.94638382,4.319115978,2.181408097,1.471197488
1938,1.905223303,2.835024833,65.8098085,12.86210048,16.11383635,38.9263872,85.78239929,192.5216295,126.4480505,15.68869533,2.272697368,2.232593307
1939,4.1363409,5.20291128,6.128981365,6.6960882,7.38443282,24.83186739,62.87551354,25.32986846,5.887794248,2.862485032,1.764234529,0.999214988
1940,2.742965048,2.480216479,3.78159397,26.94762751,30.34733823,72.99344103,91.40180242,117.8604316,26.92098733,3.19076658,1.806804784,1.241539148
1941,1.745963638,2.513324503,9.290796097,10.69496763,21.76128865,38.27251212,54.80011406,168.384284,64.38101075,8.656389262,2.079599726,1.277241627
1942,1.82545632,2.986219175,21.44249099,29.87542832,22.58548312,28.41152163,81.72038848,118.423412,87.31878195,11.01324022,1.536651535,0.824909884
1943,1.185293692,9.26049751,16.47206848,37.82676631,26.4725879,63.44661264,108.3532202,87.38036159,35.89214135,6.245449961,1.537384073,1.148132054
1944,2.332047411,2.422877128,3.454183492,4.573279557,5.42940476,14.20456818,34.55670876,83.30381041,25.82957533,4.130797903,2.077742445,1.840994668
1945,2.152075954,11.33205447,14.24381882,11.63036664,45.03032854,21.88315923,65.57579905,104.5335479,53.57015879,7.274272447,2.230519319,1.537009446
1946,4.600792906,10.28272575,28.23974926,21.58888116,13.52147373,32.85148693,79.81422645,100.5767595,26.40929187,4.497951524,2.277511788,1.847559568
1947,2.387700222,4.938767873,7.281110837,6.027359654,15.01093603,31.22436675,49.45027873,52.54177965,11.57045605,3.309990277,2.703502797,1.694184363
1948,2.641814554,3.836967822,3.433338792,11.11932065,6.003030307,9.872964273,42.20743162,108.4161349,73.4313749,7.324505521,2.427881452,2.022892967
1949,2.203889298,1.326649474,2.048341538,2.060037796,3.017645554,8.299441969,70.54731165,97.91252295,23.61003112,2.349636918,2.348078303,1.719164819
1950,1.202396534,1.239500929,1.829951397,6.711473265,15.82558719,28.21812334,78.61264894,119.0319085,49.0470045,5.426414334,1.859997888,1.50248577
1951,5.189794075,124.5402869,114.4469824,24.62240522,25.98107234,29.86656644,57.92044316,59.40492278,15.43969651,4.507851794,2.605855169,1.376555194
1952,1.620742755,3.241817714,9.068786784,9.658711236,16.10730803,19.41973272,91.10791172,202.7450408,118.9847719,27.00606209,4.539915257,2.759101425
1953,3.007488976,1.865216264,3.525962752,16.22229628,13.44061626,20.05873337,72.92527177,73.90896615,70.52482671,11.79475804,2.308909266,1.306843186
1954,1.495438421,1.882471915,3.749890801,4.657380429,10.49802938,37.48201884,86.06337033,75.4422199,15.52259076,3.620554551,3.1667267,1.412615085
1955,1.160173999,1.265467363,4.98330608,4.892227651,8.764022043,18.16155314,33.00315332,81.68169596,28.90059727,3.950608098,3.256839352,2.418184751
1956,0.4317665,0.774721451,95.61546654,55.65688838,24.06714173,38.79124935,74.6430267,138.6122489,75.85041792,11.40853288,2.639006181,2.066546054
1957,2.879895183,3.259233809,3.283151828,2.745319409,17.19978125,33.52114146,56.04818441,96.14716365,44.15765395,4.777668241,3.101236075,2.608905217
